month,day,hour,day of week,air_temp_f,3039 power (kW),3538 power (kW),4031 power (kW),6139 power (kW),7951 power (kW),8386 power (kW),8565 power (kW),9278 power (kW),power(kW)
1.0,13.0,18.0,5.0,48.13,2.0175,0.6755,1.067,0.941,0.6985,0.58125,1.1625,2.2225,9.36575
1.0,13.0,19.0,5.0,43.85,2.18025,0.85325,0.87775,0.7055,0.6515,0.6,0.85075,1.30675,8.025749999999999
1.0,13.0,20.0,5.0,41.29,2.25325,0.83,0.87175,0.73725,0.66375,0.685,0.8285,1.912,8.781500000000001
1.0,13.0,21.0,5.0,39.69,2.3075,1.24475,0.7855,1.157,2.092,0.8525,0.7795,3.06275,12.281500000000001
1.0,13.0,22.0,5.0,39.02,1.59875,0.973,0.66575,4.36675,1.88425,0.63025,0.70125,0.8645,11.6845
1.0,13.0,23.0,5.0,35.85,1.34125,0.8265,0.531,2.6095,2.67875,0.48575,0.4125,3.4115,12.29675
1.0,14.0,0.0,6.0,34.55,0.6415,0.4320000000000001,0.47225,0.77975,1.99175,0.49075,0.25375,3.4765,8.538250000000001
1.0,14.0,1.0,6.0,31.87,0.6629999999999999,0.354,0.3915,0.7475,2.6180000000000003,0.4485,0.252,2.0945,7.569
1.0,14.0,2.0,6.0,31.44,0.66175,0.34675,0.57,0.79,3.01775,0.47325,0.24225,2.43425,8.536000000000001
1.0,14.0,3.0,6.0,30.8,1.039,0.355,0.6315,0.7475,3.35375,0.4935,0.249,4.619,11.488249999999999
1.0,14.0,4.0,6.0,30.62,0.82525,0.3525,0.56175,0.757,2.0845,0.49625,0.247,2.36675,7.690999999999999
1.0,14.0,5.0,6.0,30.42,0.67975,0.368,2.8715,0.77725,4.25025,0.45225,0.27625,3.0195,12.694749999999999
1.0,14.0,6.0,6.0,30.48,0.86225,0.38425,1.714,0.75575,3.47425,1.0205,0.49625,3.4585,12.16575
1.0,14.0,7.0,6.0,30.6,1.2235,0.4425,0.70175,0.9275,2.3905,0.7585,0.643,2.9055,9.992750000000001
1.0,14.0,8.0,6.0,29.91,1.898,0.38775,0.5489999999999999,1.1595,3.52775,1.13375,2.00275,3.0395,13.698
1.0,14.0,9.0,6.0,37.41,0.78825,0.471,0.732,2.0525,2.21575,0.88325,1.484,3.76625,12.393
1.0,14.0,10.0,6.0,42.3,0.71175,0.3685,0.7355,1.86325,0.2915,0.50575,0.64775,1.79225,6.916250000000001
1.0,14.0,11.0,6.0,47.54,0.66225,0.4125,0.54975,3.3975,0.20125,0.4755,0.53925,1.17425,7.41225
1.0,14.0,12.0,6.0,51.65,1.77975,1.07925,0.53,1.6245,1.96075,0.4425,0.46025,0.5915,8.4685
1.0,14.0,13.0,6.0,56.06,2.3965,0.55425,0.55425,3.1775,0.4970000000000001,1.2185,0.87275,0.516,9.786750000000001
1.0,14.0,14.0,6.0,58.17,2.18375,0.3905,0.38875,1.2175,0.4005,0.4325,0.954,0.62025,6.58775
1.0,14.0,15.0,6.0,59.66,1.7815,0.61675,0.61125,1.3090000000000002,1.36575,0.45525,0.77325,0.5235,7.436250000000001
1.0,14.0,16.0,6.0,60.69,1.7115,0.542,0.979,1.148,0.522,0.5,1.24175,1.14125,7.7855
1.0,14.0,17.0,6.0,59.96,3.34,0.55075,1.721,3.017,2.44625,0.79625,0.9005,1.06325,13.834999999999999
1.0,14.0,18.0,6.0,56.51,4.0775,0.6445,1.917,0.79275,1.1675,1.44325,0.98,0.57025,11.59275
1.0,14.0,19.0,6.0,51.31,2.5615,0.7455,1.95625,1.51775,2.443,0.6895,1.0355,3.46825,14.417250000000001
1.0,14.0,20.0,6.0,48.03,4.455,0.395,2.044,1.7875,1.0825,0.8320000000000001,3.761,4.017,18.374
1.0,14.0,21.0,6.0,46.09,2.06675,0.8005,0.78875,1.705,0.522,0.57775,0.7879999999999999,4.0415,11.29025
1.0,14.0,22.0,6.0,46.33,1.4555,0.544,0.68825,1.21275,0.54825,0.48075,0.8,1.7095,7.439000000000001
1.0,14.0,23.0,6.0,45.55,1.47125,0.31525,0.57825,0.8835,0.632,0.46675,0.57525,3.1875,8.10975
1.0,15.0,0.0,0.0,44.18,0.90825,0.3155,1.699,0.81075,0.38375,0.461,0.36725,3.49675,8.44225
1.0,15.0,1.0,0.0,42.79,0.8735,0.3225,1.716,0.79925,2.06,0.428,0.3755,1.5865,8.161249999999999
1.0,15.0,2.0,0.0,41.46,0.8475,0.29725,1.81125,0.785,1.79975,0.46475,0.3175,3.64125,9.964250000000002
1.0,15.0,3.0,0.0,40.45,0.84375,0.32825,1.905,0.784,2.09675,0.48525,0.237,1.6695,8.349499999999999
1.0,15.0,4.0,0.0,39.95,0.82075,0.25225,1.94775,0.80175,2.2585,0.4685,0.25875,4.046,10.85425
1.0,15.0,5.0,0.0,39.2,1.18,0.32825,1.8215,0.79675,2.14575,0.48325,0.29025,1.588,8.63375
1.0,15.0,6.0,0.0,38.83,1.1155,0.2645,1.971,0.779,1.75825,1.0075,0.5385,3.66725,11.101500000000001
1.0,15.0,7.0,0.0,39.98,1.9295,0.31175,2.05375,1.0395,2.009,1.009,0.68,1.597,10.6295
1.0,15.0,8.0,0.0,41.47,2.2765,0.55775,1.9525,1.10725,3.5955,1.10875,0.81025,3.2935,14.702
1.0,15.0,9.0,0.0,44.66,1.7765,0.41575,1.3235,2.88725,1.727,0.57875,0.8340000000000001,1.7675,11.310249999999998
1.0,15.0,10.0,0.0,51.04,1.79225,0.3,0.4425,1.1065,0.404,0.488,0.70225,2.0165,7.252000000000001
1.0,15.0,11.0,0.0,56.94,1.978,0.3005,0.4725,1.07975,1.16225,1.48725,0.86025,1.27875,8.61925
1.0,15.0,12.0,0.0,62.06,1.98775,0.35975,0.65125,1.4795,0.8635,1.22525,1.01375,1.3585,8.93925
1.0,15.0,13.0,0.0,65.47,1.9865,0.319,0.8445,1.6255,0.82575,0.87675,0.87375,1.981,9.33275
1.0,15.0,14.0,0.0,66.27,2.00125,0.251,0.34525,1.57025,0.282,0.8875,0.83775,0.84825,7.02325
1.0,15.0,15.0,0.0,67.36,1.869,0.42725,0.3495,1.73475,0.28375,0.521,0.84125,0.93,6.9565
1.0,15.0,16.0,0.0,67.15,1.968,1.00025,1.8195,1.2245,0.2895,0.368,0.84875,1.00175,8.52025
1.0,15.0,17.0,0.0,66.44,3.54475,1.5205,0.4585,1.0305,0.29675,0.83675,0.90725,0.85775,9.45275
1.0,15.0,18.0,0.0,64.19,3.1115,1.29325,0.34600000000000003,1.01025,0.57725,0.7755,0.8345,1.14525,9.0935
1.0,15.0,19.0,0.0,62.41,2.411,0.4105,0.33475,1.0835,0.478,0.7325,1.33225,2.83675,9.61925
